price,street
120000.0,Григоренка
55999.0,Гречка
68800.0,Богатирська
120000.0,Білоруська
94000.0,Регенераторна
65500.0,Вишняківська
50000.0,Гонгадзе
52500.0,Правди
64980.0,Кольцова
115000.0,Воскресенська
200000.0,Руставелі
484000.0,Голосіївський
79000.0,Комбінатна
45000.0,Салютна
78000.0,Маланюка
91999.0,Ромоданова
128000.0,Саперне Поле
38700.0,Сім’ї Кульженків
95000.0,Лабораторна
77000.0,Драгоманова
52990.0,
330000.0,Кудрявська
83000.0,Краківська
105000.0,Кольцова
225000.0,Антоновича
62000.0,Лариси Руденко
90000.0,Івана Пулюя
215000.0,Українки
137000.0,Тютюнника
36000.0,Юрія Смолича
195000.0,Оболонський
60000.0,Курбаса
87000.0,Верховинця
185000.0,Зарічна
210000.0,Дніпровська
135000.0,Коломийський
84000.0,Правди
160000.0,Каховська
292000.0,Бойчука
53000.0,Правди
115000.0,Маккейна
90900.0,Перемоги
2100000.0,Грушевського
980000.0,Срібнокільська
91260.0,Перемоги
118000.0,Урлівська
84100.0,Заболотного
79700.0,Максимовича
220000.0,Бажана
155000.0,Сікорського
40000.0,Курбаса
68500.0,Дніпровська
720000.0,Драгомирова
64000.0,
44000.0,Антонова
63000.0,Бучми
64500.0,Кубанської України
100000.0,Дніпровська
249999.0,Панельна
270000.0,Коновальця
52000.0,Богатирська
50000.0,Оболонський
465000.0,Українки
125000.0,Бориса Гмирі
84000.0,Правди
69000.0,Центральна
70000.0,Преображенська
260000.0,Коновальця
124860.0,Українки
135000.0,*** not found
170000.0,Велика Васильківська
84000.0,Липківського
612500.0,Бойчука
46500.0,Васильківська
129000.0,Данькевича
89332.9,Богатирська
99000.0,Українки
117000.0,Гречка
1035900.0,Редутна
132000.0,Бориса Гмирі
340000.0,Драгомирова
31000.0,Туполєва
55000.0,Кондратюка
43000.0,Мінський
235000.0,Княжий Затон
105900.0,Герцена
49700.0,Балтійський
110000.0,Ернста
275000.0,Шаповала
220000.0,Городецького
30000.0,Сім'ї Сосніних
140000.0,Івана Мазепи
132500.0,Червоноткацька
50000.0,*** not found
225000.0,Голосіївська
165000.0,*** not found
65000.0,Миколи Гулака
230000.0,Івана Федорова
205000.0,Саперне Поле
33071.4,Миколи Хвильового
777500.0,Паторжинського
128500.0,Наумовича
80000.0,Калнишевського
100500.0,Дніпровська
149000.0,Електриків
95000.0,Солом'янська
159000.0,Шевченка
68000.0,Озерна
89400.0,Григоренка
330000.0,Антонова
229000.0,Голосіївський
67000.0,Комарова
66500.0,Борщагівська
480000.0,Шевченка
74000.0,Максимовича
175000.0,Ковальський
159000.0,Малевича
3200000.0,Мічуріна
380000.0,*** not found
63000.0,Балтійський
85000.0,Азербайджанська
130032.0,Зарічна
95700.0,Чавдар
50000.0,Правди
114900.0,Урлівська
41500.0,Бориспільська
125000.0,Поправки
48000.0,Бориспільська
59899.0,Ентузіастів
83000.0,Малоземельна
335000.0,Саксаганського
98500.0,Героїв Сталінграда
58000.0,Зодчих
52000.0,Калнишевського
195000.0,Філатова
345000.0,Старонаводницька
89900.0,Заболотного
58000.0,Правди
66500.0,*** not found
290000.0,Антоновича
380000.0,Шаповала
230000.0,Івана Федорова
135000.0,Деревлянська
165000.0,Вільямса
107000.0,Васильченка
139990.0,Предславинська
31000.0,Крайня
58000.0,Милославська
145000.0,Воскресенська
67900.0,Маланюка
230000.0,Дніпровська
240000.0,Пушкінська
65280.0,Набережно-Корчуватська
150000.0,Зарічна
499990.0,Тургенєвська
66624.0,Радченка
140000.0,Зарічна
68900.0,Метрологічна
73860.0,Йорданська
49500.0,Кольцова
138000.0,Максимовича
55500.0,Науки
206000.0,Саперно-Слобідська
110000.0,Шовковична
250000.0,Трускавецька
59157.0,Гавела
53000.0,Повітрофлотський
58000.0,Запорожця
177000.0,Маккейна
86000.0,Перемоги
70000.0,Щербаківського
73000.0,Зарічна
45000.0,Будищанська
115000.0,Жилянська
79000.0,Комбінатна
88000.0,Ревуцького
29900.0,Бородіна
189000.0,Руставелі
95000.0,Драгоманова
128000.0,Преображенська
68000.0,Депутатська
85000.0,Багговутівська
160000.0,*** not found
135000.0,Сікорського
800000.0,Драгомирова
250000.0,Коперніка
127000.0,Васильківська
98000.0,Глибочицька
125000.0,Чавдар
229000.0,Шовковична
115000.0,Дніпровська
90000.0,Антоновича
56000.0,
53000.0,Славгородська
250000.0,Драгомирова
205000.0,Срібнокільська
59950.0,Харченка
250000.0,Окіпної
205000.0,Саперне Поле
38500.0,Олени Теліги
99999.0,Кондратюка
120000.0,Мечнікова
150000.0,Героїв Сталінграда
285000.0,Рибальська
72500.0,Березова
750000.0,Саперне Поле
493000.0,Антоновича
290000.0,Маккейна
247000.0,Лейпцизька
90000.0,Драгоманова
80000.0,Коновальця
103900.0,Василя Стуса
265000.0,Тютюнника
105000.0,Січових Стрільців
78000.0,Райдужна
44900.0,Закревського
494000.0,Тургенєвська
46500.0,Васильківська
55000.0,Зої Космодем'янської
59280.0,Радченка
56000.0,Сверстюка
47500.0,Милославська
100000.0,Метрологічна
103000.0,Деміївська
95000.0,Перемоги
76800.0,Вишгородська
257500.0,Маккейна
52500.0,
302200.0,Перемоги
63500.0,Балтійський
550000.0,Звіринецька
98700.0,Ревуцького
80000.0,Правди
35000.0,Милославська
56000.0,Вербицького
36000.0,Новгородська
87000.0,Бажана
220000.0,Канівська
109000.0,Максимовича
125000.0,Донця
600000.0,Драгомирова
60000.0,Тираспольська
15700000.0,Саксаганського
45000.0,Тираспольська
160000.0,Зарічна
65000.0,Гонгадзе
495000.0,Українки
59000.0,Світлицького
68000.0,Воробйова
81000.0,Каховська
67000.0,Глибочицька
170000.0,Білокур
54500.0,Балтійський
232000.0,Антоновича
75000.0,Кондратюка
99000.0,Гончара
55000.0,Ревуцького
475000.0,*** not found
70000.0,Драгоманова
79900.0,Сім’ї Кульженків
215767.9,Панельна
155000.0,Вільямса
100000.0,Голосіївська
1010000.0,Оболонський
45000.0,Миколи Голего
80000.0,Дніпровська
115000.0,Малиновського
620000.0,Назарівська
250500.0,Гоголівська
39000.0,Дорогожицька
30970.0,Петропавлівська
360000.0,Грушевського
250000.0,Іллєнка
95000.0,Липківського
63900.0,Ушинського
81000.0,Польова
219000.0,Саперне Поле
162000.0,Панельна
199000.0,Коновальця
260000.0,Хмельницького
163000.0,Маккейна
499000.0,Антоновича
310000.0,Толстого
99800.0,Дружби Народів
130000.0,Оболонський
70000.0,Багговутівська
44500.0,Антонова
199000.0,Володимирська
120000.0,Українки
68750.0,Сім’ї Кульженків
162000.0,Коновальця
209000.0,Мирного
275000.0,Московська
38000.0,Жмеринська
114000.0,Бойчука
161000.0,Липківського
330000.0,Лабораторний
1500000.0,Інститутська
99000.0,Українки
295000.0,Хрещатик
62000.0,Дніпровська
108000.0,Осокорська
255000.0,Саперне Поле
68000.0,Комарова
164000.0,Драгомирова
139000.0,Срібнокільська
115000.0,Чоколівський
104000.0,Звіринецька
85000.0,Вишгородська
190000.0,Драгомирова
229000.0,Героїв Сталінграда
65000.0,Будівельників
250000.0,Іллєнка
105000.0,Урлівська
57000.0,Сормовська
65000.0,Правди
98000.0,Верховинна
55000.0,Вербицького
55000.0,*** not found
115000.0,Велика Васильківська
158364.0,Бойчука
80000.0,Лобановського
41000.0,Миколи Шепелєва
435000.0,Кропивницького
100000.0,Трускавецька
110000.0,Голосіївська
88107.1,Маланюка
130000.0,Драгомирова
125000.0,Юнацька
89000.0,Максимовича
110000.0,Комарова
70000.0,Багговутівська
46000.0,
84000.0,Костанайська
160000.0,Срібнокільська
42000.0,Курчатова
61000.0,Гусовського
130000.0,Українки
120000.0,Драгоманова
250000.0,Дніпровська
125000.0,Заболотного
79235.0,Заболотного
113261.0,Перемоги
62000.0,Сверстюка
131000.0,Липківського
300000.0,Маккейна
108000.0,Дніпровська
47000.0,Волгоградська
57000.0,Новопольова
135482.1,Драгоманова
149000.0,Лебедєва
85000.0,*** not found
123900.0,Драгомирова
150000.0,Лейпцизька
285000.0,Глибочицька
115000.0,Салютна
45900.0,Метрологічна
60000.0,Північно-Сирецька
115000.0,Правди
44000.0,Вернадського
85000.0,Пчілки
183693.7,Лейпцизька
200000.0,Басейна
138000.0,Шаповала
39500.0,Бережанська
123500.0,Бойчука
80000.0,Перемоги
1976000.0,Івана Федорова
320000.0,Антоновича
110000.0,Вільямса
92000.0,Бойчука
101000.0,Перемоги
849000.0,Ковпака
85000.0,Русанівський
330000.0,Українки
33900.0,Празька
165000.0,Гончара
270000.0,Маккейна
40000.0,Балтійський
104000.0,Білоруська
75000.0,Драгоманова
115000.0,Липківського
58000.0,Новогоспітальна
30540.0,Радченка
259999.0,Богомольця
140000.0,Донця
160000.0,Оболонський
200714.3,Щекавицька
65000.0,Пожарського
74000.0,Полкова
66500.0,Донця
67000.0,Палладіна
110000.0,Бойчука
127000.0,Липківського
180000.0,Павлівська
63000.0,Івашкевича
42900.0,Іскрівська
95000.0,Максимовича
255000.0,*** not found
100357.1,Драгомирова
115000.0,Теремківська
113300.0,Осокорська
268000.0,Дмитрівська
140000.0,Кондратюка
146000.0,Регенераторна
63000.0,
495000.0,Глибочицька
275000.0,Героїв Сталінграда
73500.0,Борщагівська
57000.0,Ревуцького
121860.0,Юнацька
73000.0,Заболотного
39000.0,Автозаводська
92284.0,Заболотного
210000.0,Саксаганського
139900.0,Зарічна
145000.0,*** not found
140000.0,Невська
76000.0,Героїв Сталінграда
65500.0,Вишняківська
796000.0,Драгомирова
97926.0,Драгомирова
46000.0,Гавела
115000.0,Здолбунівська
430000.0,Драгомирова
3210000.0,Мечнікова
475000.0,*** not found
127900.0,Максимовича
75000.0,Багговутівська
90005.0,Шолуденка
284999.0,Щекавицька
51000.0,Коласа
320000.0,*** not found
43000.0,*** not found
91000.0,Перемоги
185000.0,*** not found
49990.0,Наумова
89000.0,Перемоги
170000.0,Велика Васильківська
29256.6,Червоноткацька
46500.0,Вишгородська
